Wall time,Step,Value
1551637346.579,101499,-1.522453784942627
1551637416.756,101923,-1.5168101787567139
1551637416.966,101943,-1.514244556427002
1551637487.901,102509,-1.521794319152832
1551637488.2259998,102541,-1.51907217502594
1551637489.716,102685,-1.5186512470245361
1551637524.869,102880,-1.5154175758361816
1551637525.184,102911,-1.514689326286316
1551637525.754,102966,-1.514532208442688
1551637526.129,103001,-1.5180224180221558
1551637526.234,103011,-1.5169472694396973
1551637561.8419998,103206,-1.519301176071167
1551637598.203,103517,-1.5192729234695435
1551637667.9420002,103947,-1.5179342031478882
1551637704.239,104276,-1.5193507671356201
1551637704.824,104334,-1.5197269916534424
1551637776.62,104896,-1.5156488418579102
1551637776.775,104911,-1.5158133506774902
1551637776.91,104924,-1.5140410661697388
1551637778.64,105093,-1.5134860277175903
1551637814.8009999,105434,-1.5220125913619995
1551637849.647,105610,-1.5157718658447266
1551637884.54,105774,-1.515254020690918
1551637884.685,105788,-1.5193707942962646
1551637921.836,106210,-1.513405203819275
1551637922.411,106267,-1.5147901773452759
1551637956.1939998,106390,-1.5279550552368164
1551637958.124,106566,-1.5197540521621704
1551637992.449,106666,-1.514624834060669
1551638030.134,107103,-1.5140730142593384
1551638103.227,107837,-1.516400694847107
1551638211.037,108586,-1.518534541130066
1551638284.5180001,109242,-1.51469886302948
1551638284.533,109243,-1.5164562463760376
1551638285.1230001,109301,-1.5132192373275757
1551638320.6060002,109501,-1.518805980682373
1551638357.3539999,109822,-1.5136302709579468
1551638395.408,110191,-1.5140074491500854
1551638395.748,110224,-1.5138758420944214
1551638431.627,110418,-1.519086241722107
1551638466.5900002,110586,-1.676127314567566
1551638471.0670002,110641,-1.5186448097229004
1551638472.0670002,110737,-1.5186278820037842
1551638544.629,111194,-1.5178247690200806
1551638545.959,111323,-1.5141825675964355
1551638583.853,111698,-1.5173941850662231
1551638620.385,111915,-1.520702838897705
1551638696.1859999,112664,-1.5185186862945557
1551638730.931,112703,-1.5183286666870117
1551638732.9910002,112902,-1.5161033868789673
1551638805.0470002,113322,-1.5175739526748657
1551638807.777,113589,-1.5139259099960327
1551638843.2910001,113741,-1.5225802659988403
1551638879.733,113980,-1.519757628440857
1551638917.111,114292,-1.5189417600631714
1551638918.8409998,114459,-1.5200482606887817
1551638993.312,115096,-1.516475796699524
1551639065.966,115506,-1.5141559839248657
1551639066.091,115518,-1.515710711479187
1551639102.934,115765,-1.5155397653579712
1551639104.094,115878,-1.5159413814544678
1551639139.803,116039,-1.5215283632278442
1551639214.77,116673,-1.5148258209228516
1551639215.155,116711,-1.5158615112304688
1551639215.895,116783,-1.51677405834198
1551639252.7289999,117016,-1.5169028043746948
1551639253.0540001,117047,-1.513519287109375
1551639254.204,117155,-1.5138564109802246
1551639326.589,117635,-1.5153758525848389
1551639363.1379998,117825,-1.519742488861084
1551639364.323,117941,-1.51895272731781
1551639401.1,118190,-1.5258547067642212
1551639440.218,118651,-1.522964596748352
1551639477.4819999,118908,-1.5196318626403809
1551639478.407,118998,-1.5166192054748535
1551639515.8860002,119302,-1.5138545036315918
1551639552.441,119470,-1.5139873027801514
1551639626.852,119979,-1.5181694030761719
1551639778.6169999,121192,-1.676127314567566
1551639778.627,121193,-1.6761274337768555
1551639780.037,121332,-1.5168704986572266
1551639780.364,121362,-1.51632559299469
1551639780.784,121403,-1.5194332599639893
1551639855.168,121835,-1.5160839557647705
1551639894.6019998,122205,-1.517641305923462
1551639933.8430002,122622,-1.5147666931152344
1551639969.355,122634,-1.5202629566192627
1551639970.445,122739,-1.5141905546188354
1551640009.14,123068,-1.517651081085205
1551640085.8460002,123609,-1.526504397392273
1551640086.0860002,123633,-1.5144039392471313
1551640086.431,123666,-1.5142545700073242
1551640162.624,124197,-1.5197656154632568
1551640239.253,124760,-1.5369439125061035
1551640239.848,124818,-1.515679955482483
1551640277.628,125043,-1.5181156396865845
1551640280.208,125290,-1.5158944129943848
1551640472.276,126687,-1.676127314567566
1551640510.19,126935,-1.5159333944320679
1551640511.86,127097,-1.5441160202026367
1551640588.346,127542,-1.516037106513977
1551640589.3209999,127637,-1.5135040283203125
1551640626.9020002,127785,-1.5186235904693604
1551640627.867,127878,-1.5166349411010742
1551640666.318,128112,-1.6761270761489868
1551640668.2979999,128304,-1.602250099182129
1551640704.91,128408,-1.5163975954055786
1551640744.809,128852,-1.5156937837600708
1551640783.703,129146,-1.516036033630371
1551640822.262,129318,-1.5154787302017212
1551640823.1569998,129406,-1.5178959369659424
1551640824.1569998,129502,-1.539514183998108
1551640824.6019998,129545,-1.5141044855117798
1551640900.107,129925,-1.5155469179153442
1551640901.642,130071,-1.5157194137573242
1551640980.0049999,130703,-1.5134313106536865
1551641018.3260002,130926,-1.5161412954330444
1551641135.017,131680,-1.5161443948745728
1551641135.572,131734,-1.5152010917663574
1551641137.017,131876,-1.5139497518539429
1551641254.496,132676,-1.5137357711791992
1551641293.759,132916,-1.676127552986145
1551641333.5619998,133206,-1.676127552986145
1551641334.717,133318,-1.6761269569396973
1551641414.3969998,133860,-1.520801305770874
1551641415.927,134007,-1.5194276571273804
1551641494.396,134376,-1.5191391706466675
1551641494.5310001,134389,-1.5152236223220825
1551641495.396,134474,-1.514153242111206
1551641536.135,134877,-1.5129157304763794
1551641573.537,134983,-1.5188097953796387
1551641653.133,135615,-1.5140836238861084
1551641692.485,135872,-1.5221627950668335
1551641734.112,136209,-1.5145776271820068
1551641735.677,136358,-1.5142197608947754
1551641776.5110002,136673,-1.5132808685302734
1551641776.5609999,136678,-1.5151699781417847
1551641776.721,136693,-1.5146161317825317
1551641817.896,137023,-1.5153486728668213
1551641818.221,137055,-1.515472650527954
1551641897.4659998,137565,-1.5148199796676636
1551641935.445,137687,-1.5218569040298462
1551641938.385,137966,-1.5340063571929932
1551642098.0110002,138939,-1.5169894695281982
1551642138.621,139258,-1.518751859664917
1551642140.096,139403,-1.5186456441879272
1551642140.556,139449,-1.5184500217437744
1551642220.244,139975,-1.5176160335540771
1551642220.654,140015,-1.5157076120376587
1551642220.964,140045,-1.5156079530715942
1551642221.064,140055,-1.5161519050598145
1551642259.267,140131,-1.517522931098938
1551642259.6169999,140165,-1.5182621479034424
1551642340.3769999,140750,-1.514893889427185
1551642380.228,140989,-1.5227831602096558
1551642382.6179998,141222,-1.5159660577774048
1551642464.5649998,141853,-1.5212527513504028
1551642464.9299998,141889,-1.5221233367919922
1551642543.066,142196,-1.5215320587158203
1551642543.076,142197,-1.5225448608398438
1551642583.553,142496,-1.5201956033706665
1551642586.1430001,142751,-1.5139271020889282
1551642630.317,142892,-1.5381189584732056
1551642671.216,143186,-1.5174953937530518
1551642672.8409998,143342,-1.5178511142730713
1551642712.893,143571,-1.6761271953582764
1551642753.1030002,143792,-1.514722466468811
1551642754.403,143918,-1.5149905681610107
1551642795.2129998,144226,-1.5145843029022217
1551642795.838,144285,-1.516043782234192
1551642834.607,144404,-1.5232712030410767
1551642835.8769999,144528,-1.5229644775390625
1551642998.8609998,145711,-1.5181025266647339
1551642999.681,145791,-1.5197418928146362
1551643080.854,146312,-1.530405879020691
1551643123.385,146696,-1.5169893503189087
1551643246.328,147491,-1.531152606010437
1551643331.4910002,148189,-1.5229190587997437
1551643371.147,148288,-1.5201879739761353
1551643372.537,148424,-1.5194618701934814
1551643373.7619998,148546,-1.5193661451339722
1551643412.994,148604,-1.5181262493133545
1551643413.689,148673,-1.5195159912109375
1551643413.7340002,148677,-1.5192184448242188
1551643498.5459998,149442,-1.521224856376648
1551643539.094,149683,-1.5159052610397339
1551643579.481,149886,-1.5142310857772827
1551643580.016,149937,-1.5148861408233643
1551643580.711,150006,-1.5147207975387573
1551643663.7870002,150556,-1.5168266296386719
1551643704.708,150758,-1.514978051185608
1551643705.823,150863,-1.5188120603561401
1551643746.3980002,151042,-1.5166394710540771
1551643746.543,151056,-1.5155631303787231
1551643746.908,151092,-1.5167231559753418
1551643747.323,151133,-1.5156744718551636
1551643748.283,151227,-1.5154231786727905
1551643786.4540002,151276,-1.5159965753555298
1551643788.289,151456,-1.5175912380218506
1551643789.189,151543,-1.518161654472351
1551643789.379,151561,-1.517231822013855
1551643829.024,151696,-1.5169384479522705
1551643953.7710001,152523,-1.5155011415481567
1551643995.7619998,152766,-1.523758053779602
1551644082.5089998,153556,-1.5167503356933594
1551644083.189,153623,-1.513847827911377
1551644122.564,153684,-1.518795132637024
1551644209.8579998,154521,-1.5129178762435913
1551644251.211,154664,-1.5180158615112305
1551644335.748,155189,-1.5163886547088623
1551644378.77,155584,-1.5208399295806885
1551644380.155,155720,-1.5209259986877441
1551644380.3049998,155735,-1.5212565660476685
1551644505.5609999,156392,-1.5145857334136963
1551644508.281,156652,-1.5184499025344849
1551644549.458,156826,-1.5179290771484375
1551644550.203,156899,-1.5192205905914307
1551644591.5100002,157045,-1.5161495208740234
